評論者,評等,評語
James Chao,5,忙著吃，忘了拍照🤣
Joy Lee,4,品質穩定，沒啦！
Bruce Chen,5,各種食材新鮮好吃 服務人員親切有禮貌
sunny,5,最喜歡來大直店用餐，整體環境很乾淨，服務人員很熱情的招待，餐點又好吃😋
楊小捲,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
TACHUN WENG,5,品質穩定，也很喜歡他們家的果然匯與飯吧川食堂
Miigis Yang,1,現場的服務人員好像都是忍住脾氣在跟客人說話（作餐的師傅態度比櫃臺好很多）感覺隨時都要發火。我們是中午用餐，所以是剛上工就不耐煩了嗎？跟客人的溝通很敷衍，對團體客、小孩都不友善。
Yu-Ting Lin,5,食物的口感精緻，服務人員專業，環境良好空氣清新。
Hiteru Jama,4,相對於他的價格來說好吃的單品非常多～不過很明顯像是生蠔，扇貝之類到高級食材有在管控出菜速度，某一些菜色要跑蠻多次才有機會拿到，食材新鮮度是不錯的⋯唯一覺得要改善的就是果汁同一種弄了三四罐在那⋯大家都只拿最前面的來倒，讓人懷疑喝到後面那幾罐該相對放一陣子了⋯料理方面豬叻排，鹽焗雞、炒蛤蜊等都非常美味～以週末一千元的價位在台北算是很超值，服務方面缺點倒是蠻多的⋯不提供白開水給人裝不知道為啥在這方面很小氣，另外停車也令人傻眼⋯訂位時明明說可以停於家樂福，當天騎車去停在家樂福，結果結 ⋯⋯更多相對於他的價格來說好吃的單品非常多～不過很明顯像是生蠔，扇貝之類到高級食材有在管控出菜速度，某一些菜色要跑蠻多次才有機會拿到，食材新鮮度是不錯的⋯唯一覺得要改善的就是果汁同一種弄了三四罐在那⋯大家都只拿最前面的來倒，讓人懷疑喝到後面那幾罐該相對放一陣子了⋯料理方面豬叻排，鹽焗雞、炒蛤蜊等都非常美味～以週末一千元的價位在台北算是很超值，服務方面缺點倒是蠻多的⋯不提供白開水給人裝不知道為啥在這方面很小氣，另外停車也令人傻眼⋯訂位時明明說可以停於家樂福，當天騎車去停在家樂福，結果結帳時居然說機車不能折抵⋯這是歧視還是怎樣機車停車費相較於汽車也沒多少，比家樂福還摳不知道是怎樣⋯
映竹竹,4,食物還不錯，選擇非常多樣，各國料理皆有，海鮮有新鮮，鴨肉好吃，蔬食類都好吃，日式壽司種類多，也有天婦羅及烤魚烤蝦，飲品類新鮮果汁很棒，還有雞尾酒甜甜的很好喝，甜點很棒，每一樣都吃了一遍，重點是不限時間，5:30-9:30，可以慢慢吃慢慢品嚐，吃得非常飽
