評論者,評等,評語
陳思儒,1,今天的用餐體驗不是很好  中午時段訂12:30的位置 結果用餐剛開始沒多久服務員就跟我們說供餐到2點 就要清場  那官網所訂的2小時用餐時間是????? 而且從我打電話確認訂位時也完全沒有告知用餐時間限制到兩點而且中午時段收費比較貴 餐點品質卻不如下午茶時段  自助吧濃湯還是冷的 ⋯⋯更多今天的用餐體驗不是很好  中午時段訂12:30的位置 結果用餐剛開始沒多久服務員就跟我們說供餐到2點 就要清場  那官網所訂的2小時用餐時間是????? 而且從我打電話確認訂位時也完全沒有告知用餐時間限制到兩點而且中午時段收費比較貴 餐點品質卻不如下午茶時段  自助吧濃湯還是冷的時不時要確認自助吧的餐點溫度是最基本的吧!?還有今天切的牛肉完全接近 生肉  超難吃!!!!跟之前來吃的牛肉完全是天壤之別  花了一個人878 感覺不值得 吃飯被趕不會再光顧了!!  真的   今天太失望了
DogTag1221,5,環境舒適 餐點豐富
San YooDe,5,不錯，他的焗烤蚵仔是現烤的，要烤15分鐘，快好時可以過去排隊，不然一烤好很快就會拿光光了
Leo Chen,4, 餐點豐盛且美味，服務親切，停車便利。
Jasper ChenHO,4,飽
Shih David,1,第一次來饗食天堂，絕對負評1. 已經有提早訂位了，人生第一次進餐廳用餐被服務生帶錯位置，都已經坐下來開動了，還被請到其他桌，只因為服務生自己搞錯正確座位 ⋯⋯更多第一次來饗食天堂，絕對負評1. 已經有提早訂位了，人生第一次進餐廳用餐被服務生帶錯位置，都已經坐下來開動了，還被請到其他桌，只因為服務生自己搞錯正確座位2. 烤鴨完全是冷的，地瓜被吃完也一直不補3. 電話中說取餐時要戴口罩，結果一大堆人都沒戴口罩取餐，還邊排隊邊聊天，跟店員反應後，說這不是強制性的，他們也莫可奈何生平第一次到饗食天堂，絕對是最後一次去了
Tang漟,5,每次來店裡的變化都不小，還蠻新鮮的只是炸蝦真的越來越細啦~是不是拿甜蝦去炸阿 師傅 ⋯⋯更多每次來店裡的變化都不小，還蠻新鮮的只是炸蝦真的越來越細啦~是不是拿甜蝦去炸阿 師傅服務很好，東西好吃多樣
蔡宜純,2,餐點還餐點還可以但我拿的是假日晚餐餐卷想說平日去使用可避開人潮擁擠，公司規定平日晚餐使用需另再補收費，真不知道是那門的平日反而可分散客戶群，覺得這樣規定不合理重點我訂七點我五點多到竟然告訴我以現場客戶為主不一定七點可進場反正就是等以現場候位為優先那我為何要訂位
jay651290,1,其實不用訂位因為根本沒用，來到現場還是要現場候位。
林小珍,5,物美價廉。CP值頗高！
Hsin po Wu,3,價位算便宜！菜色ok可以品嚐看看！
中和在地人,5,去過太多不同的用餐地點，就是愛
Jerrold Chu,4,聚餐好地點
Tony Jih,4,餐點的水準還是很不錯，只可惜哈根達斯沒有草莓口味和巧克力口味了...
林佑 霖,5,很棒，東西雖然稍微改變一下，但還是覺得很愛這裡...舒適，餐點多，收盤速度也變快了，
詹滄,4,服務生心情不好呀
黃士浩,5,整個動線清晰，菜色一目暸然，環境燈光柔和，用餐舒適愉快我可以來N次，只為煎羊小排，大蝦及濃醇百香果...哈根達斯抹茶冰(吃了12球)
BEE,1,食材少，東西不新鮮，用餐時間都空盤子，價格還收那麼貴
Nicole Chang,5,裝潢+餐點+服務都很棒
