評論者,評等,評語
Destiny Wei,5,跟板橋比，少了西班牙烘蛋很可惜但這邊有蛋塔，板橋店沒有算是互補，想吃烘蛋的去板橋店，想吃蛋塔的來這
昀倢李,5,廚師們都很親切☺食物多樣又好吃食材非常新鮮
vanessa sung,2,空氣很差 菜色很少 但是服務人員很有禮貌
ko Pei te,5,菜色豐富服務好
吳樑基,4,(由 Google 提供翻譯) 聚餐好地方。(原始評論)聚餐好地方。
Snow Tang,5,服務很好，餐點樣式多元豐富。
王智勇,5,果然是信義店品質最高，水準只差同集團的旭集一點點，不過螃蟹很小隻，且沒有蟹黃，但是至少是新鮮的，另外在進場後的20到50分鐘時，大約一半以上的餐點都是空的，算是備菜量不足的狀態，只有炒天使紅蝦和烤白蝦串是供應充足的，於是改吃烤蝦，大概花了一個小時都在拿烤蝦、剝蝦和吃蝦。 ⋯⋯更多果然是信義店品質最高，水準只差同集團的旭集一點點，不過螃蟹很小隻，且沒有蟹黃，但是至少是新鮮的，另外在進場後的20到50分鐘時，大約一半以上的餐點都是空的，算是備菜量不足的狀態，只有炒天使紅蝦和烤白蝦串是供應充足的，於是改吃烤蝦，大概花了一個小時都在拿烤蝦、剝蝦和吃蝦。另外還是有許多客人取食的時候不戴口罩，即使店方廣播提醒依然故我，還有許多客人站在路中間擋道，或是走路不看路，橫衝直撞，甚至隨意來個華麗的轉身，差點招呼到我手裡拿的熱湯，不過這都是顧客的問題，店方已盡了告知與提醒的義務。總結個人比較推薦的前三名分別是鮮牛肉清湯、煲鴨粥和烤蝦，另外提供的各式茶類都好喝，只有螃蟹實在不推薦。最後，只能感謝辦公室的招待！
黃釋文,4,服務不錯
陳正義,5,空間食物都很棒
Jimmy Chang,5,(由 Google 提供翻譯) 超棒，第一名(原始評論)超棒，第一名
Sheng Delfin,5,(由 Google 提供翻譯) 喜歡食物(原始評論)love the food
中和在地人,4,去過太多不同的用餐地點，就是愛
羅素,5,(由 Google 提供翻譯) 菜色很多(原始評論)菜色很多
KeJi Chang,5,食材新鮮，鮮蝦相關料理多元與美味（炸的，鹽焗，水煮等等），牛排類也好吃，提供的花茶類眾多，可細細品嚐
Henry Hsu,4,下午茶很划算，用餐人少，環境舒適。菜色上基本無雷，但也沒有特別驚豔，很安全的下午茶選擇。
Shevey Yuh Chang,5,滿意！食物豐，外場人員親切，服務態度佳（辛苦了！）東西太多，真不知該吃什麼？是聚餐敘舊的好地點哦！
蔡美玲,2,東西都差不多，每次去似乎吃同樣東西。
小紀,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
Lin Jerry,5,CP值優
George Chin,4,比起上次在大直美麗華分店用餐，感覺菜色似乎沒有美麗華分店多，但在服務方面不錯，價位CP值尚可
黃松福,5,用餐環境優質，只是電梯不好等訂位很難
Jenny Kao,5,聚餐好地方，全家都愛來饗食天堂，美食隨時有，各取所愛，也可以悠閒慢慢品嚐美味，也可以欣賞窗外美景
Betty Lin,3,還好。新鮮度。各人的感覺。
呂雲蘭,5,讚讚讚的cp值
王軍森,5,服務超完美，我最喜歡 （@素玲）的服務，就像是天使的降臨，很用心的服務我們，謝謝你讓我們有完美的聚餐。
Ling Chian Ning,5,服務不錯
吳澬妘,3,選項豐富
Allen Edison,5,東西很多，也不錯吃，服務人員也很親切！
Kevin Wu,4,用餐環境舒適，食材新鮮美味，主打的鹽焗雞真的不錯
范家瑞,5,食材品質不錯座位寬敞服務態度優
墨遠緣,5,(由 Google 提供翻譯) 美味的食物。(原始評論)Delicious food.
Kevin Cheng,4,(由 Google 提供翻譯) 自助餐廳，提供各種菜餚和飲料。所有食物都很好，但不是很好。有點擁擠和嘈雜。(原始評論) …更多(由 Google 提供翻譯) 自助餐廳，提供各種菜餚和飲料。所有食物都很好，但不是很好。有點擁擠和嘈雜。(原始評論)A buffet restaurant with varieties of dishes and drinks. All food are good but not great. A bit crowded and noisy.
