評論者,評等,評語
賴彼得,5,這家不錯，跟新竹店有比
Lu Johnny,5,空間寬敞，排隊動線佳
Silvster Kowu,4,餐點豐富，口味尚可，可用餐時間也長，適合團體聚餐，但性價比稍低，盡可能線上購買餐卷方式用餐。
杜憲宗,4,地點方便，可以吃完順便逛SOGO，但是相比其他吃到飽的店有在進步，饗食沒有進步，服務人員態度很好，因為疫情用餐人數不多，取餐不用排隊
楊鴻賓,4,(由 Google 提供翻譯) 一般般(原始評論)一般般
吳吟芳,4,羊排真的很好吃鴨粥吃不膩甜點有水準
cou votvc,5,東西好吃樣式多，服務親切。
A C,4,餐點總類多
陳子婷,2,用餐環境寬敞明亮且動線清楚，食物多樣化，三五好友聚會是不錯的選擇。但外場素質、態度需加強，希望下次再訪時能感受到素質的提升以及待人的禮貌。
Griffey Kao,4,中等價位吃到飽，食材新鮮、料理有一定水準，但缺少能特別吸引人的特色料理。
吳豁達,5,空間寬敞 服務品質良好 餐點多樣精緻
廖淑芬,5,空間明亮，多様化食材，新鮮美味，甜點超多。
小澄,5,食材新鮮多樣，吃得很滿足。
張維,5,東西很多，多到不會選。
張沛汝,2,雖然價格上—個人大約要900元左右，可是有很多樣的選擇。生魚片，牛排，啤酒，湯品，螃蟹等……還滿多樣話的。跟它的價格很等質。只是今天比較失望的是：現在的季節是螃蟹的季節以為會是肥美多肉。可是並沒有。這是今天去比較失望的地方。其它都食物上都非常值得去品嘗。真的不錯吃。也值得去吃。
袁筱雯,5,餐點好吃，服務態度親切
George Wien,5,豐富。
彭志偉,3,用餐環境還不錯  就是覺得菜品有點偏少
Shelly RuRu,5,餐點的選擇很多元
Tina Chou,5,雖然價錢滿貴的，但它值得
李昀萱,5,久久就想再嚐的好味道 泰式系列都不錯
黃延儒,5,可能是晚餐和疫情關係，空間寬敞，食材乾淨整齊，沒有不補或慢補現象。收盤也得體。
古鴻坤,5,假日期間從中餐，下午茶及晚餐都接近客滿，晚預定用餐位置會被分到閣樓，取菜要走較遠。
Andy Lau,3,有酒可以喝 其他只有生魚片撐腰
周郁彬,4,假日不適合去，出餐速度慢
銳鱗亞鼠,3,外圍座位太遠，夾菜太花時間。
楊宗憲,5,服務親切
Aaron Cheng,2,座位安排在上面的樓中樓會先告知，但是端著菜走來走去還是有點遠。會員有優惠不會主動告知，這一點比不上桃園新光店...
BV,4,食材算是新鮮，但是這2年的不景氣也紮實的影響營收，導致陳列的食材會限量供應，就有一種不好的觀感，這裡不是吃到飽嗎？
曾雲,3,唯一推薦現切牛排，還好有它不然我會餓死握壽司魚肉薄，沒有味道，沒有生魚片的味道，而且乾乾的，沒錯，是乾乾的螃蟹很雷，沒有螃蟹的鮮甜味，基本上海鮮那區吃起來都很雷其他食材真的很普通，就是吃粗飽的而已
SON WIL,5,食材新鮮👌🏻
劉晏甄,5,很多很好吃的buffet，吃得好飽喔～
Teresa美君,5,多樣性選擇，品質一向很棒
Huang Angel,4,種類豐富～想吃海鮮類的還是要去漢來海港～但最讓人驚訝的是有為素食者準備素食餐點！除了素食餐點之外，檯面上任何素食料理素食者都可以食用～餐點如果不夠也都還可以再點～素食餐點做的挺用心的～都不是市面上吃到的素料
Yu-Kai Juang,3,東西蠻好吃，不過熱門品項都要用搶的，還有熟食類選項較少。
Yi-Hsiu Hsieh,4,星期六晚上來家庭聚會吃到飽，菜色多樣，就是沒有足夠裝下所有美食的胃，以及足以消受的體重...晚餐1000多元的費用加10%服務費也算不便宜。
王小明,4,饗食天堂中壢店我是第一次來，是在107年12月前往慶生，整體上的感覺還不錯，挑高建築，不會有壓迫感。菜色部分都很到位，牛肉、海鮮、豬肉、生魚片、日式料理、中式料理、西式料理等，都滿符合大眾需求，口味上來說也挺好的！天使紅蝦卻實用料實在，很值得一吃！ ⋯⋯更多饗食天堂中壢店我是第一次來，是在107年12月前往慶生，整體上的感覺還不錯，挑高建築，不會有壓迫感。菜色部分都很到位，牛肉、海鮮、豬肉、生魚片、日式料理、中式料理、西式料理等，都滿符合大眾需求，口味上來說也挺好的！天使紅蝦卻實用料實在，很值得一吃！服務質量的部分，也都挺好的，服務員懂得適時收盤，壩台上的服務員，也懂得禮貌應對客人，結帳櫃臺的服務員態度也都良好，這一成的服務費我願意給！整體而言我給90分！
林瑞龍,5,料理很多樣，生，煮，炒都好吃。
Anson Chung,4,就這樣沒特別
鍾惠婷,5,東西多樣，與朋友去，左右各兩邊熱食會比較注意不到，這個可能去的人注意一下，但不影響吃美味的好地方。
王宜婷,5,最好吃的buffet 👍選擇很多，乾淨又新鮮～大推👍👍👍蛤蜊湯必喝！！
王敦清,5,在遠東百貨9F，美食非常多樣，不限用餐時間，例如晚上17：30來用餐，到21：30打洋時間很夠用，除假日有時間限制而已，我都選擇週一到週五來用餐的。
凡特西,5,價格提升 餐點品質服務也跟著提高👍
黃會長Jony,4,(由 Google 提供翻譯) 值得去吃美味的好所在！(原始評論)值得去吃美味的好所在！
林慶源,5,.超讚的。
魯二爺,5,新鮮好吃，服務親切
謝金伶,5,(由 Google 提供翻譯) 菜色多(原始評論)菜色多
張光杰,5,(由 Google 提供翻譯) 好ㄘ(原始評論)好ㄘ
俞芳,5,來好幾次，真的不錯，螃蟹正好食
曾坤池,5,分區  取餐動線佳;食材新鮮，吃不盡
陳智峰,5,蛤蜊湯真的必喝！必喝！👍選擇多樣符合男女老少～推！！！
車銻鍋,3,還可以
Apha mail,4,食材新鮮多樣，可偶而打打牙祭
前浜麻菜末,5,超好吃的buffet！吃過眾多間buffut饗食天堂選擇最多也最合我的胃口👍
James Chan,3,中午11:30用餐，菜色一般般，選擇性不多，沒有生蠔，沒有龍蝦，現切牛肉帶血三分熟，現切德國豬腳一份兩小片，北平烤鴨麵皮卷一次限量兩份，每個用餐時段到達後會廣播及熄燈清場，請自行把握用餐時間，總體來說CP值不優。
Xavier Lin,4,食物好吃，但2樓座位離食物太遠，要一直繞路
blue sky,3,炸蝦的皮也太厚了吧，都是油味……吃下午的也沒看到焗烤生蠔，小螃蟹也炒太鹹，大人快800元很不值得
黃秋玉,3,(由 Google 提供翻譯) 食材沒更換(原始評論)食材没更换
CHING-HSIN LIN,2,之前吃過饗的印象還不錯，可是第一次來中壢這邊吃滿失望的，吃了好多樣都不好吃，食物沒什麼特色，可是種類也不多，價錢不算便宜，這樣還寧願花更多錢吃別家更值得
楊旻宏,5,buffet 裡面最好吃的一個品牌東西選擇多！食材新鮮又好吃😋雖然價格看起來不美麗但吃了就覺得值得～！
謝君怡,4,適合帶小孩來
李蘭子,4,場地很寬敞···餐點也不錯
黃瑞賓,3,排隊入場動線亂先排隊後進場 後排隊先進場有行動不便的請注意不要訂到2樓
陳傑,5,中壢吃到飽的好選擇～食材新鮮～種類豐富～95分～
Lic Kris,5,中規中矩的吃到飽，季節性菜色（焗烤竹筍等）福利川菜菜色都加分。很可惜的吃到焗烤生蠔有點吞不下去...
徐漢,5,(由 Google 提供翻譯) 一如以往(原始評論)一如以往
許美玉,5,新鮮又好吃餐點多樣的餐廳
Dana Wu,3,2018.8 ⋯⋯更多2018.8今日去吃了一頓下午餐，總結來說，甜點非常優秀，口味有多樣可以選擇，哈根達斯的冰淇淋很好吃，水果就普通了點，炸物不太推，油膩感重，生魚片還行，說是來自東港的海魚有點....浮誇，爐烤肋眼牛排吃不到牛肉香我個人沒有很愛，美式鮮蝦濃湯，蝦味濃味道不錯，大口饗樂骨柴到爆，口味偏麻香，嘴巴會麻麻的，肉質硬到要配飲料才能吞下去，骰子牛肉很讚，比牛排好吃太多，腸粉蒸得太硬，快炒類熱菜絲瓜和奶油馬鈴薯(在牛排隔壁)好吃，紅油牛肉有嫩和入味，7/1漲價的價格去吃，我覺得可能吃晚餐四個小時會比較值得，第一能慢慢吃，不會太趕而吃到撐。其它的時段我覺得cp值沒有很高。2020.8 平日晚餐(幾乎滿席)生魚片及握壽司類: 醋飯用得太酸，飯太黏稠，但上面包覆的生魚片算新鮮，生牛肉和鹽焗雞味道很好！泰式芒果海鮮沙拉(新菜)很好吃炸蝦很棒而且會一直炸，剛開始會被搶光，到七點以後就沒人再搶了，烤類的食物也不會冷掉，不過烤甜白蝦因為有蝦泥，剥殼之後入口會有土味。烤牛排/豬腳類:牛排還算是嫩，但蘑菇醬苦掉了(大概一整天都在加熱)，變得很難入口，奶油薯泥太乾，豬腳乾柴到可以打人了，用刀很難切割。鴨肉卷我覺得很腥不好吃，小黃瓜和葱絲都壓不下去味道。鴨粥反而味道剛好。飲料類:中壢店應該去向桃園店請教鮮萃綠茶的做法，中壢店爆甜而且充滿香精味，但桃園店就不會，難道桃園店的飲料師傅有秘方嗎?西瓜汁是用榨的沒錯，但總有一股腥味，反而水果裡的西瓜比較好吃，唯一覺得好入口的飲料是阿里山紅茶/青茶/冰咖啡(咖啡機煮出來的)，中壢店在飲料方面要加油了!酒精類:有生啤喝到掛，但今天沒喝，日式沙瓦可加酒類或不加。熱炒類有多了幾道泰式料理，甚至有冬陰功湯，但太酸又太鹹實在不好吃。總結: 晚餐因為時間有五個小時，這次算是吃得很悠閒，水果和甜點類依舊表現上佳，冰淇淋還是哈根達斯(北部有些分店已經不放H牌的冰淇淋了)，但硬到挖不動是個問題，離場前半個小時才吃，這次來不及和店家反應。
葉瑋霖,4,"上次吃饗食天堂是漲價前, 這次是漲價後第一次吃.平日晚餐898+10%, 有烤生蠔 烤白蝦.漲價後的價格和食物種類, 還是屌打桃園其他buffet吃到飽."
小冶,4,寬敞舒適，服務人員親切，部份菜色並不優，如鹹酥蝦不新鮮肉質粉粉、烤牛肉太生、特色鴨粥太鹹。可是他們蛤蠣很肥美新鮮。但整體菜品還是桃園市饗比較優耶！
mie761115,5,一個人又想吃各式各樣的海鮮料理的時候，自助餐是最好的選擇因為價錢的因素，掙扎了很久，最後決定來吃下午茶意想不到的豐盛 ⋯⋯更多一個人又想吃各式各樣的海鮮料理的時候，自助餐是最好的選擇因為價錢的因素，掙扎了很久，最後決定來吃下午茶意想不到的豐盛蝦、蟹、螺、肉、蔬菜，各種菜色都非常令人滿意最驚訝的是這裡的德國豬腳佐料有德式酸菜和芥末醬，完美！頭一次吃烤葡萄柚，這也是令人驚艷的一道甜點。桌邊服務也不錯，服務員會一直過來清掉空盤，這個服務費也付的有價值。如果有機會，一定會再去
Lintin Tai,5,菜色豐富，服務態度也不錯，環境明亮
Jia Huang Juang,5,(由 Google 提供翻譯) AAA級(原始評論)AAA
吳家瑋,5,久久來一次挺不錯 菜色變化不大頻率高的話會膩 雖然菜色不算多 但都做的挺好吃 現切牛 烤鴨捲餅 蝦類料理 每次來的最愛
Candace Yu,5,新冠病毒持續，平日人潮少很多，食材很新鮮，有推活動。
何佳郁,4,炸蝦，生魚片都很超值，符合期待
LIN BOB,4,進攻生魚片跟牛排跟甜點就對了，其他試試即可～
阿能,5,這次活動不錯喔！好多牛類料理
涂鈺婷,5,人很多一定要事先訂位！食材很新鮮！鴨肉捲超好吃的一定要吃！
Alice Liu Wonder Land,5,(由 Google 提供翻譯) 好(原始評論)good
